Origem/Destino;Paquetá;Freguesia (Ilha);Bancários;Galeão;Tauá;Portuguesa;Moneró;Vigário Geral;Cocotá;Jardim América;Jardim Carioca;Pavuna;Cordovil;Jardim Guanabara;Parada de Lucas;Parque Colúmbia;Praia da Bandeira;Penha Circular;Cacuia;Irajá;Anchieta;Acari;Pitangueiras;Costa Barros;Brás de Pina;Penha;Zumbi;Ribeira;Coelho Neto;Guadalupe;Parque Anchieta;Barros Filho;Vista Alegre;Ricardo de Albuquerque;Colégio;Honório Gurgel;Olaria;Vila da Penha;Maré;Vila Militar;Cidade Universitária;Rocha Miranda;Ramos;Realengo;Vila Kosmos;Marechal Hermes;Vicente de Carvalho;Paciência;Engenho da Rainha;Complexo do Alemão;Vaz Lobo;Padre Miguel;Bento Ribeiro;Turiaçú;Bonsucesso;Inhaúma;Tomás Coelho;Santíssimo;Madureira;Osvaldo Cruz;Santa Cruz;Magalhães Bastos;Senador Camará;Cavalcanti;Campo dos Afonsos;Higienópolis;Manguinhos;Engenheiro Leal;Pilares;Del Castilho;Piedade;Cascadura;Vila Valqueire;Maria da Graça;Quintino Bocaiúva;Jardim Sulacap;Campinho;Abolição;Senador Vasconcelos;Cosmos;Jacarezinho;Cachambi;Praça Seca;Benfica;Engenho de Dentro;São Cristóvão;Vasco da Gama;Inhoaíba;Todos os Santos;Jacaré;Encantado;Rocha;Méier;Gamboa;Santo Cristo;Centro;Sampaio;Riachuelo;Saúde;São Francisco Xavier;Engenho Novo;Mangueira;Tanque;Taquara;Água Santa;Lins de Vasconcelos;Freguesia (Jacarepaguá);Cidade Nova;Praça da Bandeira;Vila Isabel;Maracanã;Glória;Rio Comprido;Santa Teresa;Estácio;Tijuca;Catumbi;Grajaú;Pechincha;Andaraí;Catete;Flamengo;Laranjeiras;Guaratiba;Vargem Grande;Alto da Boa Vista;Cosme Velho;Curicica;Botafogo;Urca;Cidade de Deus;Sepetiba;Anil;Jacarepaguá;Camorim;Humaitá;Gardênia Azul;Jardim Botânico;Vargem Pequena;Copacabana;Leme;Lagoa;Itanhangá;Gávea;Barra da Tijuca;Leblon;Ipanema;São Conrado;Rocinha;Pedra de Guaratiba;Recreio dos Bandeirantes;Vidigal;Joá;Barra de Guaratiba;Grumari;Caju;Deodoro;Lapa;Campo Grande;Bangu;Gericinó;Jabour;Vila Kennedy;Ilha de Guaratiba
Engenho da Rainha;15358;22896;20687;16228;19883;18612;19430;10011;20825;9841;19107;10019;9961;18549;8651;10084;21198;7892;20532;5612;16985;9012;20826;11250;7517;7793;21393;22495;11174;11274;17735;9867;6694;15156;6080;8416;6106;4384;8494;16424;10407;7223;6403;20074;3649;10574;5449;41599;0;4929;6538;22565;9407;8030;6885;2430;1776;30725;8488;8594;50249;17358;27053;3036;12175;7332;8221;4210;3613;5756;7360;7253;11638;7629;8374;16641;7983;4707;32123;42650;8483;8093;10487;9624;10631;13283;10585;38943;7924;8760;10302;10536;9691;14813;13240;16606;9794;11165;14774;11639;10343;11622;18435;14266;10519;12430;15240;13936;14546;12094;13742;22766;15927;16774;14873;13674;15508;14164;17374;12790;20560;22932;19152;48210;37492;21752;24607;25601;22735;26019;20589;54435;19687;15683;30255;21777;19691;22704;32315;23733;26208;21543;35543;24841;23682;24357;24721;31651;27525;52812;35249;26718;31091;47928;44192;13536;12504;17357;34580;23337;24774;26096;23633;46503
Complexo do Alemão;13771;21309;19101;14641;18296;17026;17843;9854;19238;17944;17520;14515;8260;16962;13147;14580;19611;6627;18945;10108;29045;13508;19239;15746;6984;5378;19806;20908;23234;23334;29795;21927;11190;27216;10576;12913;2582;8880;6907;28484;8820;11719;2879;32134;8146;16754;9945;53659;4910;0;11034;34625;15587;12526;4599;3176;6400;42785;12984;14775;62309;29418;39113;7660;18355;4054;6634;8834;6737;5175;10037;13433;17818;5167;12180;22609;14163;8563;44183;54710;6538;5641;19992;7121;9761;11696;8998;51003;6521;6298;9432;8831;7228;13226;11653;15019;7332;8702;13187;9136;7881;9119;17565;19582;9650;11560;14370;12349;12959;9632;13392;21179;14340;15187;13286;11211;13921;11701;16504;10327;18973;21345;17565;47340;36622;19290;23020;24732;21149;24432;19719;60564;18818;25995;29385;20190;18821;21117;31445;22146;24621;19956;34674;23255;22813;22770;23134;30064;25939;51943;34379;25131;29504;47059;43322;11949;24564;15770;46640;35397;36834;38156;35693;45633
Vaz Lobo;19520;27058;24850;20391;24046;22775;23592;8453;24987;9800;23269;7142;10522;22711;9220;7207;25360;7135;24694;2910;14108;6136;24988;8373;5958;7037;25555;26657;8085;8397;14858;6990;4249;12279;3203;5386;7783;3673;12656;13547;14569;2732;9725;17197;3244;7606;2225;38722;5163;10638;0;19689;6357;2475;11047;6876;3710;27848;2934;5545;47372;14481;24176;4970;9099;9266;12384;3548;5547;7690;6921;5802;8562;9563;6923;13564;4907;6641;29247;39773;10417;10027;7411;11558;12565;17445;14747;36066;9858;10695;12236;12470;11625;18976;17402;20768;11729;13099;18936;13573;12277;13557;9063;11190;12454;14364;17174;18098;18709;14029;15676;26928;20090;20936;19035;15608;19670;16098;19308;14724;24723;27095;23314;50144;39426;23686;28769;13662;26898;30181;22523;51558;21622;12607;29672;25939;21625;26866;34249;27895;30370;25705;37478;29004;25617;28519;28884;35813;31688;54747;37183;30880;35254;49862;46126;17699;9627;21519;31703;20460;21897;23219;20757;48437
Padre Miguel;37611;39732;37523;33064;36719;35448;36265;21223;37660;19677;35943;17392;20399;35384;19088;17457;38034;22830;37368;17212;12784;16385;37661;17831;21448;23891;38228;39331;13707;17274;13534;15867;18394;10954;16619;14625;27377;20935;31438;7496;29953;15973;27604;2112;20000;12898;19198;26242;21968;28368;15764;0;10453;17333;28709;23681;20515;10483;18193;11882;34892;4164;6775;16739;8003;30367;30487;15089;22352;24495;16312;13952;9263;26368;15073;10030;12998;16688;10624;27292;27222;20815;12478;32651;18311;34023;33274;17918;19288;27499;17464;33699;20601;37066;35493;38858;35535;35103;37026;33667;21901;33650;13619;12262;17934;20474;16763;36188;36799;35245;37232;45019;38180;39026;37125;40393;37760;25496;14706;37809;42813;45185;41405;25750;29171;42271;41748;15148;46222;48272;15645;39078;25826;13547;18538;43045;23675;43972;23995;45000;48460;42810;35462;39092;23601;45625;45989;38027;37353;30482;26277;39441;37467;38957;34704;35789;11830;39610;15516;6750;8187;5818;7047;27564
Bento Ribeiro;30650;32771;30562;26103;29758;28487;29304;14262;30699;12716;28982;10431;13438;28424;12127;10496;31073;15869;30407;7557;7865;9424;30700;8826;14487;16930;31267;32370;6746;7468;8615;7170;9229;6036;6348;5631;20417;9638;17390;6402;19303;5076;20644;9446;9729;1917;8928;32703;9897;15372;6584;11907;0;4825;15781;11610;8355;21829;5977;1565;41353;7019;18156;7427;4418;14000;17117;5777;9655;12424;7575;5216;3132;14297;6337;9730;4261;8070;23227;33753;15151;12198;5368;16292;9574;22179;26313;30047;10670;14162;8728;14756;11984;30105;28532;31897;13644;15014;30065;16908;13284;17844;8417;12259;9198;11737;16034;29227;29838;16292;17689;38058;31219;32065;30165;17872;30800;16878;9777;16988;35852;38224;34444;40199;30132;25950;33503;16109;31632;41311;12446;45538;20482;14508;19499;30673;20485;31600;24955;32629;41499;30439;36338;33738;24477;33253;33617;38903;36422;44802;27238;40317;38343;39917;35665;28828;4853;32649;25683;14440;15878;17199;14737;38492
Turiaçú;21334;28871;26663;22204;25859;24588;25405;11789;26800;10243;25083;7585;10966;24524;9663;7650;27174;13405;26507;4856;11850;6579;26801;6690;8978;14465;27368;28471;5886;6138;12600;4726;6528;10020;3647;3187;10136;6936;14469;11288;16382;2374;18179;14939;5596;5547;4577;36464;6976;12451;2537;17430;5665;0;12860;8689;5434;25590;1501;4853;45114;12223;21917;4506;8407;11079;14197;2856;7360;9504;6229;5110;7870;11376;6231;12872;4215;6254;26988;37514;12230;11840;6719;13371;8207;19258;16560;33808;8854;12508;7360;12941;10168;20789;19216;22581;13542;14912;20749;15387;11468;15370;8371;10498;9498;11409;14219;19911;20522;15842;17489;28741;21903;22749;20848;17421;21483;17911;9731;16537;26536;28908;25127;48113;38046;25499;30582;24022;28711;31995;12399;49299;18666;11915;27413;27752;18670;28679;32869;29708;32183;27518;34522;30817;22661;30332;30697;37626;33501;52715;35152;32694;37067;47831;43171;19512;7369;23333;29444;18201;19639;20960;18498;46406
Bonsucesso;10728;18418;16210;11750;15406;14135;14952;13968;16347;15053;14629;19278;9853;14071;16901;18210;16720;8492;16054;11528;26154;17673;16348;21000;10393;5193;16915;18017;20343;20443;26904;19036;16299;24325;11996;20645;4546;10299;4016;25593;5929;13139;2437;29243;9565;16669;11364;50768;8092;5219;12453;31735;15502;13945;0;5454;7820;39894;14404;14689;59418;26527;36222;9079;18270;2848;3591;10254;6652;5090;9952;13348;17733;6963;12095;22524;14078;8478;41293;51819;6457;7427;19907;4074;9676;8805;5955;48112;8213;6883;9347;5784;9024;10183;8610;11976;7957;7525;10144;6090;9670;6073;17480;19496;9565;11475;14285;9306;9916;7667;10349;18136;11297;12144;10243;13511;10878;13497;16419;10232;15930;18302;14522;47255;36537;21369;20129;24647;18258;21389;19634;60479;18733;25910;29300;17299;18736;18226;31360;19255;21578;17065;31993;20364;22728;19879;20244;27173;23048;51858;34294;22240;26614;46973;43237;8906;21673;12727;43749;32506;33943;35265;32803;45548
Inhaúma;13468;21006;18798;14338;17993;16723;17540;11331;18935;11161;17217;11339;11281;16659;9971;11404;19308;9212;18642;6932;18305;10333;18936;12570;8837;9113;19503;20605;12494;12594;19055;11187;8014;16476;7400;9737;4780;5704;6604;17744;8517;8543;5077;21394;4970;12022;6769;42919;2122;3604;7858;23885;10855;9350;4995;0;3224;32045;9809;10043;51569;18678;28373;4484;13623;3779;6331;5658;5061;4872;9734;8702;13086;4864;9822;22306;9431;6155;33443;43970;5718;5338;11935;6821;9458;11393;8695;40263;6218;5995;9129;8531;6925;12923;11350;14716;7029;8399;12884;9519;7578;9502;17262;19279;9347;11257;14067;12046;12656;9329;13089;20876;14037;14884;12983;10908;13618;11398;16201;10024;18670;21042;17262;47037;36319;18987;22717;24429;20846;24129;19416;55755;18515;25692;29082;19887;18518;20814;31142;21843;24318;19653;34371;22952;22510;22467;22831;29761;25636;51640;34076;24828;29201;46756;43019;11646;13824;15467;35900;24657;26094;27416;24954;45330
Tomás Coelho;16129;23667;21458;16999;20654;19383;20201;9720;21596;9550;19878;9728;9669;19320;8360;9793;21969;7601;21303;5321;16694;8721;21596;10959;7226;7502;22163;23266;10883;10982;17444;9575;6403;14864;5789;8125;8423;4092;9265;16133;11178;6932;9403;19783;3358;9027;5158;41308;1771;7246;5861;22274;7860;5864;7656;3485;0;30434;6323;7048;49958;14129;26761;1489;10628;5875;8992;2663;2156;4299;5903;5707;10091;6172;6827;15094;6436;3250;31832;42358;7026;6636;8940;8166;9174;14054;11356;38652;6466;7303;8845;9079;8234;15584;14011;17376;8337;9708;15545;10182;8886;10165;10592;12719;9062;10973;13782;14707;15317;10637;12285;23537;16698;17545;15644;12217;16279;12706;15917;11333;21331;23703;19923;46752;36035;20295;25377;24144;23506;26790;19132;54144;18230;14136;28797;22548;18233;23475;30858;24503;26979;22313;34086;25612;22225;25128;25492;32422;28296;51355;33791;27489;31862;46471;42735;14307;12213;18128;34288;23046;24483;25804;23342;45046
Santíssimo;44011;46132;43923;39464;43119;41848;42665;27623;44061;26077;42343;23792;26799;41785;25488;23857;44434;29230;43768;23613;19184;22786;44061;24231;27848;30291;44628;45731;20107;23675;19934;22268;24794;17354;23019;21025;33778;27335;37838;13896;36353;22373;34005;13073;26400;19298;25599;18950;28368;34769;25697;8884;19502;23733;35109;30081;26915;0;24594;20930;27600;14170;6962;28175;19060;36768;36887;25948;28752;30896;27243;25010;20320;32768;26130;21088;24055;27269;5501;20000;33622;33232;23536;39051;29221;40423;39674;12795;29869;33900;28374;40099;31182;43466;41893;45258;41935;41503;43426;40067;32482;40051;25851;22247;41021;45395;27820;42588;43199;41645;43632;51419;44580;45427;43526;46794;44161;39303;25763;44210;49213;51585;47805;20627;39156;52255;48148;25132;52623;54672;25629;31785;35811;23531;28523;49445;33660;50372;33979;51401;54860;49211;45446;49077;33586;52025;52389;48012;47337;25360;36261;49426;47452;31784;44689;42189;18231;46010;7715;5820;10133;4610;5712;22441
Madureira;19832;27370;25162;20702;24358;23087;23904;10506;25299;11853;23581;9195;12575;23023;11273;9260;25672;9188;25006;4963;11279;8189;25300;8654;8011;9090;25867;26969;7850;8102;12029;6690;6302;9450;5256;5151;12126;5726;12968;9816;14881;4284;13106;12858;5297;5331;4278;36116;5475;10950;2237;15319;4164;2240;11359;7188;3933;25243;0;3352;44766;10433;21570;3005;6905;9578;12696;1355;5859;8002;4728;3609;6368;9875;4730;11371;2714;4753;26641;37167;10729;10339;5218;11870;6705;17757;15059;33461;7353;11006;5859;11440;8667;19288;17714;21080;12040;13411;19248;13885;9967;13868;6870;8997;7997;9908;12717;18410;19021;14340;15988;27240;20401;21248;19347;15920;19982;16410;8230;15036;25034;27406;23626;45687;34970;23998;29081;11469;27210;30493;10898;48952;17165;10414;17309;26251;17168;27178;29793;28207;30682;26017;33021;29316;21160;28831;29196;36125;32000;50290;32726;31192;35566;45406;41670;18011;8267;21831;29097;17854;19292;20613;18151;43981
Osvaldo Cruz;23925;31463;29255;24796;28451;27180;27997;15236;29392;13690;27674;11405;14412;27116;13101;11470;29765;16843;29099;8531;8839;10398;29393;9800;15461;17904;29960;31062;7720;8442;9589;8144;10203;7010;7322;6605;16219;10612;17061;7376;18974;6050;21618;10420;9030;2891;8010;33677;9415;15043;5970;12881;1442;5799;15452;11128;7873;22803;6951;0;42327;7993;19130;6945;5011;14236;16789;5295;8479;11943;6518;4158;3710;13816;5279;10323;3204;6894;24201;34727;14670;11021;4827;15810;8517;21850;19152;31021;9494;12985;7670;13580;10807;23381;21807;25173;12468;13838;23341;15731;12107;16668;7360;9487;8140;10680;14858;22503;23114;15116;16512;31333;24495;25341;23440;16695;24075;15702;8720;15811;29128;31499;27719;40792;30726;24774;33174;16702;31303;34586;11388;46512;19306;10904;20093;30344;19309;31271;25549;32300;34775;30110;35162;33409;23301;32924;33289;37727;36093;45395;27831;39141;37167;40511;36258;22104;5827;25924;26657;15414;16852;18173;15711;39086
Santa Cruz;65085;67207;64998;60539;64194;62923;63740;48697;65135;47151;63418;44867;47874;62859;46563;44932;65509;50305;64842;44687;40259;43860;65136;45306;48923;51365;65703;66806;41182;44749;41008;43342;45868;38429;44094;42099;54852;48410;58912;34970;57428;43448;55079;34147;47475;40372;46673;11067;49442;55843;46771;33762;40576;44808;56184;51156;47990;23857;45668;42005;0;35245;30127;49250;40134;57842;57962;47023;49827;51970;48318;46084;41395;53843;47205;42162;45130;48343;26423;11749;54697;54307;44610;60126;50295;61497;60749;14201;50943;54974;49449;61173;52257;64541;62967;66333;63009;62577;64501;61142;53557;61125;46926;43321;62096;66469;48894;63663;64274;62720;64706;72493;65655;66501;64600;67868;65235;60377;46838;65284;70288;72659;68879;18838;35259;60306;69223;46207;73697;75746;46704;8772;56885;44606;49597;70519;54734;71446;37449;72475;75935;70285;53498;57128;54660;73099;73464;56063;55388;16521;30738;57477;55503;29226;33119;63264;39305;67084;23658;26894;31208;27774;26786;23111
Magalhães Bastos;32570;34691;32482;28023;31678;30407;31224;16182;32619;14636;30902;12351;15358;30343;14047;12416;32993;17789;32327;12171;7686;11344;32620;9107;16407;18850;33187;34290;8666;7749;8436;10826;13353;5856;11578;9584;22336;15894;26397;2194;24912;10932;22563;2832;14959;7851;14157;27651;16927;23327;13085;5293;6492;12292;23668;18640;14989;13656;13152;7920;36301;0;9948;14061;5324;25326;25446;12410;15594;19454;13633;11274;6584;21327;12395;7352;10319;14009;13797;28702;22181;18137;9800;27610;15632;28981;28233;24995;16609;20101;14786;20695;17923;32025;30452;33817;19583;30061;31985;28626;19223;28609;10941;9323;15255;17795;14896;31147;31758;30204;32190;39978;33139;33985;32084;35352;32719;27174;12839;22927;37772;40144;36364;36299;26232;39331;36707;12209;41181;43231;12706;40487;22887;10608;15599;38004;20736;38931;21055;39959;43419;37769;32523;36153;20662;37492;40948;35088;34413;40902;23338;36502;34528;36017;31765;30748;5134;34569;20632;9389;10827;8991;9686;34592
Senador Camará;43821;45942;43733;39274;42929;41658;42475;27433;43870;25887;42153;23602;26609;41595;25298;23667;44244;29040;43578;23423;18994;22595;43871;24041;27658;30101;44438;45541;19917;23485;19744;22077;24604;17164;22829;20835;33588;27145;37648;13706;36163;22183;33815;7834;26210;19108;25408;22554;28178;34578;25507;5720;19312;23543;34919;29891;26725;7524;24404;20740;31204;9886;0;27985;13725;36578;36697;25758;28562;30705;22034;19674;14985;32578;20795;15752;18720;22410;7665;17496;33432;33042;18200;38861;24033;40233;39484;14959;25010;33709;23186;39909;26323;43276;41703;45068;41745;41313;43236;39877;27623;39860;19341;22056;23656;26196;22485;42398;43009;41455;43442;51229;44390;45236;43336;46603;43971;39113;20428;44019;49023;51395;47615;22790;38966;52065;47958;24942;52432;54482;25439;35390;35621;23341;28333;49255;33470;50182;33789;51211;54670;49021;45256;48887;33395;51835;52199;47821;47147;27523;36071;49236;47262;33947;37840;41999;18040;45820;12557;9424;10940;2858;9316;24604
Cavalcanti;17389;24927;22718;18259;21914;20643;21460;10980;22855;10809;21138;10987;10929;20579;9620;11052;23229;8860;22562;6581;14047;9981;22856;12218;8485;8762;23423;24526;12142;12242;14797;10835;7662;12218;7049;7847;9682;5352;10524;12584;12437;8192;10662;15628;4618;8099;6417;38885;3031;8506;4933;18089;6932;4936;8915;4744;1489;28011;5395;6120;47535;13201;24338;0;9700;7135;10252;1735;3415;5559;5821;4779;9163;7431;5899;14166;5508;4509;29409;39935;8285;7895;8012;9426;10434;15313;12616;36229;7726;8563;10104;10338;9493;16844;15271;18636;9597;10967;16804;11442;10145;11425;9664;11791;10322;12232;15042;15966;16577;11897;13544;24796;17958;18804;16903;13476;17538;13966;17176;12592;22591;24963;21183;48012;37294;21554;26637;25404;24766;28050;20391;51720;19490;13208;30057;23807;19493;24734;32117;25763;28238;23573;35346;26872;23485;26387;26752;33682;29556;52615;35051;28749;33122;47731;43994;15567;13472;19388;31865;20622;22060;23381;20919;46305
Campo dos Afonsos;37075;39196;36987;32528;36183;34912;35729;20687;37124;19141;35407;16856;19863;34848;18552;16921;37498;22294;36832;16676;12248;15849;37125;17295;20912;23355;37692;38795;13171;16738;12998;15331;17858;10418;16083;14089;26841;20399;30902;6960;29417;15437;27068;6331;12872;12362;11852;31542;13257;18885;9812;8792;5590;9815;28173;14970;11715;20668;10274;6411;40192;5441;13446;10787;0;18078;29951;9137;12321;15785;10360;8000;4122;17658;9121;5718;7046;10736;22067;32593;18512;14863;6538;19652;12359;33486;32738;28886;13336;16827;11512;17422;14649;36530;34957;38322;16310;17680;36490;33131;15949;33114;9307;8247;11982;14522;12451;35652;36263;18958;20354;44483;37644;38490;36589;20538;37224;19544;10394;19653;42277;44649;40869;36159;26092;39192;41212;12069;45686;47736;11549;44378;15045;10468;15459;42509;20596;43436;20916;44464;47924;42274;32383;36013;20522;37352;45453;34948;34274;40762;23198;36362;34388;35878;31625;35253;11294;39074;24523;13280;14718;12489;13577;34452
Higienópolis;10926;18464;16255;11796;15451;14180;14998;14014;16393;15099;14675;14162;11883;14117;16946;18256;16766;10521;16100;9755;26200;13156;16394;21045;12422;6721;16961;18063;20389;20489;26950;19081;10837;24370;10223;20691;4250;8527;4062;25639;5975;11367;4222;29289;7793;14897;9592;50814;4678;3073;10681;31780;13730;12173;2453;2556;6048;39940;12632;12917;59464;26573;36268;7307;16497;0;3789;8482;4880;3318;8180;11576;15960;3287;10323;20751;12306;6706;41338;51864;2943;3761;18135;3526;7904;8851;6153;48158;4642;3393;7575;5236;5349;10381;8808;12174;5171;6977;10342;5541;6884;5524;15708;17724;7792;9703;12512;9504;10114;7119;7644;18334;11495;12342;10441;9051;11076;9541;14647;8167;16128;18500;14720;45483;34765;17129;20175;22874;18303;21587;17862;58707;16960;24138;27527;17345;16964;18272;29588;19301;21776;17111;32816;20409;20955;19925;20289;27219;23093;50085;32522;22286;26659;45201;41465;9104;21719;12925;43795;32552;33989;35311;32848;43776
Manguinhos;8649;18544;16336;11876;15531;14260;15078;14094;16473;15179;14755;19404;11963;14197;17026;18336;16846;10601;16180;11659;26280;17799;16474;21125;12502;10781;17041;18143;20469;20569;27030;19162;16425;24450;12127;20771;5887;10431;4142;25719;6055;13271;4683;29369;9697;16801;11496;50894;8224;5351;12585;31860;15634;14077;2340;5586;7952;40020;14536;14821;59544;26653;36348;9211;18402;2980;0;10386;6784;5222;10084;13480;17864;7094;12227;22655;14210;8610;41418;51944;5124;7558;20039;2741;9808;5061;3876;48238;8345;5550;9479;4451;9156;8105;6531;9897;6567;6135;8065;4700;8280;4683;17612;19628;9696;11607;14416;7227;7838;6277;8270;16057;9218;10065;8164;11432;8799;10177;16551;8842;13851;16223;12443;47387;36669;19291;12787;24778;17261;19310;19766;60611;18864;26042;29431;14083;18868;15010;31492;16039;19499;13849;28778;17148;22859;16663;17028;23958;19832;51989;34426;19025;23398;47105;43369;6828;21799;10648;43875;32632;34069;35391;32928;45680
Engenheiro Leal;18550;26088;23880;19420;23076;21805;22622;12141;24017;11971;22299;12149;12091;21741;10781;12214;24390;10022;23724;7742;12384;11143;24018;9687;9647;9923;24585;25687;8883;9135;13134;7723;8824;10555;8210;6184;10844;6514;11686;10921;13599;5317;11824;13965;5780;6436;5310;37222;4193;9668;3270;16426;5269;3273;10077;5906;2651;26348;3732;4457;45872;11538;22675;1723;8037;8296;11413;0;4577;6720;4158;3116;7500;8593;4237;12503;3845;4183;27746;38272;9447;9057;6349;10588;6135;16475;13777;34566;6783;9724;5289;11500;8097;18006;16432;19798;10758;12129;17966;12603;9397;12586;8001;10128;11483;13394;16204;17128;17738;13058;14706;25958;19119;19966;18065;14638;18700;15128;18338;13754;23752;26124;22344;49174;38456;22716;27799;12601;25928;29211;21553;50057;20651;11545;18440;24969;20655;25896;33279;26925;29400;24735;36507;28034;24646;27549;27913;34843;30718;53776;36213;29910;34284;48892;45156;16728;9372;20549;30202;18959;20397;21718;19256;47467
Pilares;15476;23014;20805;16346;20001;18730;19547;11339;20943;11168;19225;11346;11288;18667;9979;11411;21316;9219;20650;6939;18313;10340;20943;12577;8844;9121;21510;22613;12501;12601;19062;11194;8021;16483;7407;9744;7770;5711;8612;17751;10525;8551;8750;21401;4977;10178;6776;42926;3390;6593;7663;23893;9011;7666;7003;5132;2289;32052;8125;8199;51576;15280;28380;3549;11779;5786;8339;4525;0;5868;4517;6858;11242;7741;5113;16245;7587;1167;33451;43977;8595;3633;10091;9735;6280;13401;10703;40270;3144;8872;3635;7416;4643;14931;13358;16723;9906;11276;14891;11751;5943;11734;14084;16100;6168;8079;10888;14054;14664;12206;15097;22884;16045;16892;14991;13785;15626;9538;13023;12901;20678;23050;19270;43858;33141;21864;24724;21250;22853;26137;16238;57082;15336;22513;25903;21895;15339;22822;27964;23850;26325;21660;31192;24959;19331;24475;24839;31769;27643;48461;30897;26836;31209;43577;39841;13654;13831;17475;35907;24664;26102;27423;24961;42152
Del Castilho;12691;20229;18021;13561;17217;15946;16763;15779;18158;16864;16440;13089;13649;15882;11721;13154;18531;12286;17865;8682;20055;12082;18159;14320;10586;7823;18726;19828;14244;14343;20805;12936;9763;18225;9150;11486;5027;7453;5827;19493;7740;10293;5325;23144;6719;14152;8518;44669;5246;3851;9607;25635;12985;11099;4218;2608;4974;33795;11558;12172;53319;20428;30122;6234;15752;1696;5554;7408;4135;0;7435;10831;15215;1993;9578;20006;11561;5961;35193;45719;2847;2457;17390;3988;7159;6853;6400;42013;3903;3124;6830;4900;4055;12147;10573;13939;4158;5529;12107;6003;4707;5986;14963;16979;7047;6042;11767;11269;11880;6458;8106;20099;13260;14107;12206;8038;12841;8528;13902;7154;17893;20265;16485;44737;34020;16116;21940;22129;20069;23352;17117;57961;16215;23392;26782;19110;16218;20037;28843;21066;23541;18876;32071;22175;20210;21690;22054;28984;24859;49340;31776;24051;28425;44456;40720;10870;15574;14690;37649;26406;27844;29165;26703;43031
Piedade;18227;25765;23556;19097;22752;21481;22298;21315;23694;22400;21976;13540;19184;21418;16996;13606;24067;17822;23401;9308;14048;12534;23694;12999;15861;14000;24261;25364;12928;12447;14798;11035;10647;12218;9602;9496;10521;12728;11363;12585;13276;8630;11501;15628;11994;8100;8623;38885;10521;9344;6583;18089;6933;6585;9754;7883;6867;28011;7044;6120;47535;13201;24338;5939;9700;8537;11090;4289;5584;6644;0;3950;9163;8517;2491;14166;5508;3494;29409;39935;9371;6780;8013;10511;2818;16152;13454;36229;5253;9648;1972;9339;4676;17682;16109;19474;8227;9597;17642;12527;7867;12510;9664;11791;2442;4981;8121;16805;17415;10875;12272;25635;18796;19643;17742;12455;18377;9570;10255;9488;23429;25801;22021;41091;30373;20533;27475;18483;25604;28888;13470;54315;12569;13209;23136;24646;12572;25573;25196;26601;29076;24411;28425;27710;16564;27226;27590;30990;30394;45694;28130;29587;30430;40810;37073;16405;11036;20226;31865;20623;22060;23382;20919;39384
Cascadura;22420;29958;27750;23291;26946;25675;26492;12725;27887;14073;26169;11415;14795;25611;13492;11480;28260;11408;27594;7183;11922;10408;27888;10873;10231;11310;28455;29558;10803;10322;12672;8910;8521;10092;7476;7371;14714;7946;15556;10459;17469;6504;15694;13503;7517;5974;6497;36759;7770;13538;4457;15964;4807;4460;13947;9483;6228;25885;4919;3994;45409;11075;22213;5300;7575;11873;15284;3650;6974;10297;5013;0;7038;12170;3774;12041;3383;5389;27284;37810;13024;9516;5887;14165;7012;20345;17647;34103;7989;11481;6165;12075;9302;21876;20302;23668;10963;12333;21836;14227;10603;15163;7539;9666;6635;9175;13353;20998;21609;13611;15007;29828;22990;23836;21935;15191;22570;14197;8899;14307;27623;29995;26214;46323;35605;23269;31669;12138;29798;33081;11567;49595;17801;11083;17978;28839;17804;29766;30428;30795;33270;28605;33657;31904;21796;31419;31784;36222;34588;50926;33362;37636;35662;46042;42305;20599;8910;24419;29740;18497;19935;21256;18794;44616
Vila Valqueire;25119;32657;30449;25989;29644;28373;29191;17857;30586;16311;28868;14026;17033;28310;15722;14091;30959;19464;30293;9889;9821;13020;30587;10782;12937;20525;31154;32256;10341;9424;10571;12502;11228;7992;10183;8701;17413;10653;18255;9413;20168;8146;18393;8784;10223;4987;9204;33996;10609;16236;7164;11245;3179;7166;16646;12322;9067;23122;7625;3906;42646;7894;15900;8139;3678;15430;17982;6489;9673;13137;7711;5352;0;15009;6473;8143;4397;8087;24520;35046;15863;12215;3426;17004;9710;23044;20346;31340;10687;14179;8864;14774;12001;24574;23001;26367;13662;15032;24535;16925;13301;17861;5581;7708;9334;11873;8998;23697;24307;16310;17706;32527;25688;26535;24634;17889;25269;16896;6941;17005;30321;32693;28913;38612;28546;25967;34368;14522;32497;35780;9610;46832;11592;9126;17913;31538;11853;32465;23369;33494;35969;31304;27706;31336;15845;34118;34482;30271;29597;43215;25651;31685;29711;38331;34079;23297;6809;27118;26976;15734;17171;14943;16030;36906
